Geneid,sampleTreat_1.sam,sampleTreat_2.sam,sampleTreat_3.sam,sampleCtrl_1.sam,sampleCtrl_2.sam,sampleCtrl_3.sam
YPK_2576,   0,   0,   0,   0,   0,   0
YPK_2577,   2,   2,   0,   0,   0,   0
YPK_2578,   3,   0,   4,   2,   6,   2
YPK_2579,   0,   2,   0,   0,   2,   0
YPK_2580,   0,   0,   0,   0,   0,   0
YPK_2581,   6,  10,  10,   4,   2,   1
YPK_2582,   0,   0,   0,   0,   0,   0
YPK_2583,   0,   2,   0,   0,   2,   0
YPK_2584,   0,   0,   0,   0,   0,   0
YPK_2585,   0,   1,   0,   0,   0,   0
YPK_2586,   0,   0,   0,   0,   0,   0
YPK_2587,   0,   0,   0,   0,   0,   1
YPK_2588,   0,   0,   0,   0,   0,   0
YPK_2589,   6,   0,   0,   0,   2,   0
YPK_2590,   0,   2,   0,   0,   0,   2
YPK_2591,   0,   0,   0,   0,   0,   0
YPK_2592,   0,   0,   0,   0,   0,   0
YPK_2593,   0,   0,   0,   2,   0,   2
YPK_2594,   0,   0,   0,   0,   0,   0
YPK_2595,   0,   0,   0,   0,   0,   0
YPK_2596,   0,   0,   0,   0,   0,   1
YPK_2597,   0,   0,   0,   0,   0,   0
YPK_2598,   0,   0,   0,   0,   0,   0
YPK_2599,   0,   0,   0,   0,   0,   0
YPK_2600,   0,   0,   0,   0,   0,   0
YPK_2601,   0,   0,   0,   0,   0,   0
YPK_2602,   0,   0,   0,   0,   0,   0
